# CVS $Revision: $ $Author: $ -- Wed Dec  3 23:06:11 2008 -- reformated by prettylst.pl v1.38 (build 7302)														
### A Block														
SOURCELONG:Is This It	SOURCESHORT:Is This It	SOURCEDATE:2007-03												
														
SOURCELONG:Spell Compendium	SOURCESHORT:SC													
Ethereal Mount.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=4|Wizardry ~ Advanced=4		
Evil Glare.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=7|Wizardry ~ Advanced=7	
Exacting Shot.MOD	CLASSES:Wicca ~ Basic=2		
Excavate.MOD	CLASSES:Sorcerer=8|Wizardry ~ Advanced=8	
Expeditious Retreat (Swift).MOD	CLASSES:Wizardry ~ Basic,Sorcerer=1|Wizardry ~ Advanced=1										
Explosive Cascade.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4		
Extend Tentacles.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=2|Wizardry ~ Advanced=2		
Extract Water Elemental.MOD	CLASSES:Wicca ~ Advanced,Sorcerer=6|Wizardry ~ Advanced=6			
Eye of the Hurricane.MOD	CLASSES:Wicca ~ Advanced=4			
Eye of Power.MOD	CLASSES:Sorcerer=9|Wizardry ~ Advanced=9		
														
###F Block														
Faith Healing.MOD	CLASSES:Blackguard,Canonry ~ Advanced,Canonry ~ Basic=1		
False Gravity.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3		
Familiar Pocket.MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1		
Fangs of the Vampire King.MOD	CLASSES:Assassin,Blackguard=3				
Favor of the Martyr.MOD	CLASSES:Canonry ~ Basic=4			
Favorable Sacrifice.MOD	CLASSES:Canonry ~ Advanced=3			
Fearsome Grapple.MOD	CLASSES:Sorcerer=2		
Fell the Greatest Foe.MOD	CLASSES:Assassin,Canonry ~ Basic,Wicca ~ Basic=2|Canonry ~ Advanced=3			
Field of Icy Razors.MOD	CLASSES:Sorcerer=8|Wizardry ~ Advanced=8			
Fiendform.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5	
Fierce Pride of the Beastlands.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=8|Wizardry ~ Advanced=8					
Find the Gap.MOD	CLASSES:Assassin,Canonry ~ Basic,Wicca ~ Basic=3		
Find Temple.MOD	CLASSES:Canonry ~ Basic=1	
Fins to Feet.MOD	CLASSES:Wicca ~ Advanced,Sorcerer=2|Wizardry ~ Advanced=2		
Fire Shield (Mass).MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5							
Fire Shuriken.MOD	CLASSES:Assassin=2		
Fire Spiders.MOD	CLASSES:Sorcerer=6|Wizardry ~ Advanced=6		
Fire Stride.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4	
Fire Wings.MOD	CLASSES:Wicca ~ Advanced=3	
Firebrand.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5	
Fireburst.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2	
Fireburst (Greater).MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5							
Fires of Purity.MOD	CLASSES:Wicca ~ Advanced,Sorcerer=6|Wizardry ~ Advanced=6		
Fireward.MOD	CLASSES:Wicca ~ Advanced=5	
Fist of Stone.MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1		
Flame Dagger.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2		
Flame of Faith.MOD	CLASSES:Canonry ~ Advanced=3|Canonry ~ Basic=2		
Flame Whips.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4	
Flashburst.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3	
Flensing.MOD	CLASSES:Sorcerer=8|Wizardry ~ Advanced=8	
Fleshshiver.MOD	CLASSES:Sorcerer=6|Wizardry ~ Advanced=6	
Flight of the Dragon.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4			
Floating Disk (Greater).MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4								
Fly (Mass).MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5				
Fly (Swift).MOD	CLASSES:Wizardry ~ Basic,Sorcerer=2|Wizardry ~ Advanced=2|Wicca ~ Advanced=3				
Focusing Chant.MOD	CLASSES:Wizardry ~ Basic=1		
Foebane.MOD	CLASSES:Wicca ~ Basic=4	
Force Chest.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4	
Force Claw.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4	
Force Ladder.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2		
Force Missiles.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4		
Forceward.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4	
Forcewave.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4	
Forestfold.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=3	
Fortify Familiar.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3		
Fortunate Fate.MOD	CLASSES:Canonry ~ Advanced=7		
Foundation of Stone.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=1			
Freeze.MOD	CLASSES:Wicca ~ Advanced=6	
#Freezing Fog.MOD	CLASSES:Sorcerer=6|Wizardry ~ Advanced=6		
Frost Breath.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced,Sorcerer=2|Wizardry ~ Advanced=2		
Fugue.MOD	CLASSES:Wizardry ~ Basic=4
Fuse Arms.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=2|Wizardry ~ Advanced=2	
														
###G Block														
G'Elsewhere Chant.MOD	CLASSES:Wizardry ~ Basic=3		
Gemjump.MOD	CLASSES:Sorcerer=6|Wizardry ~ Advanced=6	
General of Undeath.MOD	CLASSES:Canonry ~ Advanced=8			
Ghost Touch Armor.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=2|Wizardry ~ Advanced=2		
Ghost Touch Weapon.MOD	CLASSES:Canonry ~ Advanced=3			
Ghost Trap.MOD	CLASSES:Canonry ~ Advanced=6|Sorcerer=7|Wizardry ~ Advanced=7	
Ghostform.MOD	CLASSES:Sorcerer=8|Wizardry ~ Advanced=8	
Ghostharp.MOD	CLASSES:Wizardry ~ Basic=0	
Ghoul Gauntlet.MOD	CLASSES:Sorcerer=6|Wizardry ~ Advanced=6		
Ghoul Glyph.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2	
Giant's Wrath.MOD	CLASSES:Wicca ~ Advanced,Sorcerer=3|Wizardry ~ Advanced=3		
Girallon's Blessing.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced,Sorcerer=3|Wizardry ~ Advanced=3			
Glass Strike.MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7		
Glowing Orb.MOD	CLASSES:Canonry ~ Advanced=4|Sorcerer=3|Wizardry ~ Advanced=3	
Golden Wizardry ~ Basicing.MOD	CLASSES:Blackguard,Canonry ~ Basic=1		
Golem Strike.MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1		
Grace.MOD	CLASSES:Wizardry ~ Basic=2|Canonry ~ Advanced=3
Grave Strike.MOD	CLASSES:Canonry ~ Advanced,Canonry ~ Basic=1		
Graymantle.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5	
Great Thunderclap.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3		
Guided Shot.MOD	CLASSES:Wicca ~ Basic,Sorcerer=1|Wizardry ~ Advanced=1	
Guiding Light.MOD	CLASSES:Wizardry ~ Basic,Canonry ~ Advanced,Sorcerer=1|Wizardry ~ Advanced=1		
Gutsnake.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5	
														
### H Block:														
Hail of Stone.MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1		
Hailstones.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3	
Hamatula Barbs.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=3|Wizardry ~ Advanced=3		
Hand of Divinity.MOD	CLASSES:Blackguard,Canonry ~ Advanced,Canonry ~ Basic=2		
Hand of the Faithful.MOD	CLASSES:Canonry ~ Advanced=4|Canonry ~ Basic=3			
#Hardening.MOD	CLASSES:Sorcerer=6|Wizardry ~ Advanced=6	
Harmonic Chorus.MOD	CLASSES:Wizardry ~ Basic=2		
Haste (Swift).MOD	CLASSES:Wicca ~ Basic=2					
Haunting Tune.MOD	CLASSES:Wizardry ~ Basic=3		
Hawkeye.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=1	
Heal Animal Companion.MOD	CLASSES:Wicca ~ Advanced=5|Wicca ~ Basic=3			
Healing Lorecall.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=2|Wicca ~ Basic=1		
Healing Sting.MOD	CLASSES:Wicca ~ Advanced=2		
Healing Touch.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3		
Healthful Rest.MOD	CLASSES:Wizardry ~ Basic,Canonry ~ Advanced,Wicca ~ Advanced=1		
Heart of Stone.MOD	CLASSES:Sorcerer=8|Wizardry ~ Advanced=8		
Heart Ripper.MOD	CLASSES:Assassin=4		
Heartfire.MOD	CLASSES:Wizardry ~ Basic,Wicca ~ Advanced=2	
Heat Drain.MOD	CLASSES:Canonry ~ Advanced=8	
Heatstroke.MOD	CLASSES:Wicca ~ Advanced=3	
Heavenly Host.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=9|Wizardry ~ Advanced=9		
Hellish Horde.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=9|Wizardry ~ Advanced=9		
Herald's Call.MOD	CLASSES:Wizardry ~ Basic=1		
Heroics.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2	
Hidden Lodge.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=5|Wizardry ~ Advanced=5		
Hide from Dragons.MOD	CLASSES:Assassin=4|Wizardry ~ Basic=5|Sorcerer=7|Wizardry ~ Advanced=7		
Hide the Path.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=6		
Hindsight.MOD	CLASSES:Wizardry ~ Basic=6|Sorcerer=9|Wizardry ~ Advanced=9	
Hiss of Sleep.MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7		
Holy Mount.MOD	CLASSES:Canonry ~ Basic=2	
Holy Spurs.MOD	CLASSES:Canonry ~ Basic=1	
Holy Star.MOD	CLASSES:Canonry ~ Advanced=7	
Holy Storm.MOD	CLASSES:Canonry ~ Advanced,Canonry ~ Basic=3	
Holy Transformation.MOD	CLASSES:Canonry ~ Advanced=4			
Holy Transformation (Lesser).MOD	CLASSES:Canonry ~ Advanced=4										
Horrible Taste.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic,Sorcerer=1|Wizardry ~ Advanced=1		
Howling Chain.MOD	CLASSES:Sorcerer=6|Wizardry ~ Advanced=6		
Hungry Gizzard.MOD	CLASSES:Wicca ~ Advanced=6		
Hunter's Mercy.MOD	CLASSES:Wicca ~ Basic=1		
Hunters of Hades.MOD	CLASSES:Canonry ~ Advanced=9		
Hurl.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2
Hymn of Praise.MOD	CLASSES:Wizardry ~ Basic=3		
Hypothermia.MOD	CLASSES:Canonry ~ Advanced=4|Wicca ~ Advanced=3	
														
### I Block:														
Ice Axe.MOD	CLASSES:Canonry ~ Advanced=3	
Ice Claw.MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7	
Ice Dagger.MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1	
Ice Flowers.MOD	CLASSES:Canonry ~ Advanced=6|Wicca ~ Advanced=6	
Ice Gauntlet.MOD	CLASSES:Canonry ~ Advanced=1		
Ice Knife.MOD	CLASSES:Assassin,Sorcerer=2|Wizardry ~ Advanced=2	
Icelance.MOD	CLASSES:Wicca ~ Advanced,Sorcerer=3|Wizardry ~ Advanced=3	
Illusory Feast.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5		
Illusory Pit.MOD	CLASSES:Sorcerer=6|Wizardry ~ Advanced=6		
Imbue Familiar With Spell Ability.MOD	CLASSES:Sorcerer=6|Wizardry ~ Advanced=6					
Imperious Glare.MOD	CLASSES:Sorcerer=6|Wizardry ~ Advanced=6		
Implacable Pursuer.MOD	CLASSES:Assassin,Blackguard,Wicca ~ Basic=4			
Improvisation.MOD	CLASSES:Wizardry ~ Basic=1		
Incite.MOD	CLASSES:Wizardry ~ Basic,Canonry ~ Advanced,Sorcerer=1|Wizardry ~ Advanced=1	
Incorporeal Enhancement.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3			
Incorporeal Nova.MOD	CLASSES:Canonry ~ Advanced=5|Sorcerer=6|Wizardry ~ Advanced=6		
Indomitability.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5		
Infernal Threnody.MOD	CLASSES:Wizardry ~ Basic=3		
Infernal Transformation.MOD	CLASSES:Canonry ~ Advanced=7			
Infernal Transformation (Lesser).MOD	CLASSES:Canonry ~ Advanced=4												
Infernal Wound.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=2|Wizardry ~ Advanced=2		
Inferno.MOD	CLASSES:Wicca ~ Advanced=5	
Infestation of Maggots.MOD	CLASSES:Wicca ~ Advanced=3			
Inhibit.MOD	CLASSES:Wizardry ~ Basic,Canonry ~ Advanced,Sorcerer=1|Wizardry ~ Advanced=1	
Inky Cloud.MOD	CLASSES:Canonry ~ Advanced=2	
Insidious Rhythm.MOD	CLASSES:Wizardry ~ Basic=1		
Insightful Feint.MOD	CLASSES:Assassin,Sorcerer=1|Wizardry ~ Advanced=1		
Inspirational Boost.MOD	CLASSES:Wizardry ~ Basic=1			
Instant Locksmith.MOD	CLASSES:Assassin,Sorcerer=1|Wizardry ~ Advanced=1		
Instant Refuge.MOD	CLASSES:Sorcerer=9|Wizardry ~ Advanced=9		
Instant Search.MOD	CLASSES:Assassin,Wicca ~ Basic,Sorcerer=1|Wizardry ~ Advanced=1		
Interplanar Message.MOD	CLASSES:Canonry ~ Advanced=3			
Interplanar Telepathic Bond.MOD	CLASSES:Sorcerer=6|Wizardry ~ Advanced=6				
Invisibility (Superior).MOD	CLASSES:Sorcerer=8|Wizardry ~ Advanced=8								
Invisibility (Swift).MOD	CLASSES:Assassin=2|Wizardry ~ Basic=1								
Iron Bones.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=4|Wizardry ~ Advanced=4	
Iron Silence.MOD	CLASSES:Assassin,Wizardry ~ Basic,Canonry ~ Advanced=2		
Ironguard.MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7	
Ironguard (Lesser).MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5							
Ironguts.MOD	CLASSES:Wizardry ~ Basic,Canonry ~ Advanced,Sorcerer=1|Wizardry ~ Advanced=1	
Ironthunder Horn.MOD	CLASSES:Wizardry ~ Basic=1|Sorcerer=2|Wizardry ~ Advanced=2		
														
### J & K Block:														
Jagged Tooth.MOD	CLASSES:Wicca ~ Advanced=3|Wicca ~ Basic=2		
Jaws of the Wolf.MOD	CLASSES:Wicca ~ Advanced=4		
Joyful Noise.MOD	CLASSES:Wizardry ~ Basic=1		
Juglerazer.MOD	CLASSES:Wicca ~ Advanced=1|Sorcerer=3|Wizardry ~ Advanced=3	
Jungle's Rapture.MOD	CLASSES:Wicca ~ Advanced=5		
Kelpstrand.MOD	CLASSES:Wicca ~ Advanced=2	
Kiss of the Vampire.MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7			
Knight's Move.MOD	CLASSES:Canonry ~ Advanced=3|Canonry ~ Basic=2		
Know Greatest Enemy.MOD	CLASSES:Blackguard,Canonry ~ Basic=1			
Know Opponent.MOD	CLASSES:Wizardry ~ Basic,Canonry ~ Advanced=3		
Know Vulnerabilities.MOD	CLASSES:Wizardry ~ Basic=2|Canonry ~ Advanced=3|Sorcerer=4|Wizardry ~ Advanced=4			
														
### L Block														
Land Womb.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=4	
Languor.MOD	CLASSES:Wicca ~ Advanced=4	
Last Breath.MOD	CLASSES:Wicca ~ Advanced=4	
Launch Bolt.MOD	CLASSES:Sorcerer=0|Wizardry ~ Advanced=0	
Launch Item.MOD	CLASSES:Sorcerer=0|Wizardry ~ Advanced=0	
Lawful Sword.MOD	CLASSES:Canonry ~ Basic=4		
Lay of the Land.MOD	CLASSES:Wizardry ~ Basic,Wicca ~ Advanced=4|Wicca ~ Basic=1		
Life Ward.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2	
Lifebolt.MOD	CLASSES:Canonry ~ Advanced=4	
Life's Grace.MOD	CLASSES:Canonry ~ Advanced=5		
Light of Lunia.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=1|Wizardry ~ Advanced=1		
Light of Mercuria.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=2|Wizardry ~ Advanced=2		
Light of Venya.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=3|Wizardry ~ Advanced=3		
Lightfoot.MOD	CLASSES:Assassin,Wicca ~ Basic=1	
Lightning Ring.MOD	CLASSES:Sorcerer=8|Wizardry ~ Advanced=8		
Lionheart.MOD	CLASSES:Canonry ~ Basic=1	
Lion's Charge.MOD	CLASSES:Wicca ~ Advanced=3|Wicca ~ Basic=2		
Lion's Roar.MOD	CLASSES:Canonry ~ Advanced=8	
Listening Coin.MOD	CLASSES:Wizardry ~ Basic=3		
Listening Lorecall.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=2			
Lively Step.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=2|Wizardry ~ Advanced=2	
Living Prints.MOD	CLASSES:Wicca ~ Basic=1		
Living Undeath.MOD	CLASSES:Canonry ~ Advanced=2		
Love's Lament.MOD	CLASSES:Wizardry ~ Basic=3		
Low-light Vision.MOD	CLASSES:Assassin,Wicca ~ Advanced,Wicca ~ Basic,Sorcerer=1|Wizardry ~ Advanced=1		
Loyal Vassal.MOD	CLASSES:Canonry ~ Basic=2		
Lucent Lance.MOD	CLASSES:Canonry ~ Advanced=6|Sorcerer=5|Wizardry ~ Advanced=5		
Luminous Gaze.MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1		
														
### M Block														
#Maddening Scream														
Maddening Whispers.MOD	CLASSES:Sorcerer=8|Wizardry ~ Advanced=8			
Maelstrom.MOD	CLASSES:Wicca ~ Advanced=8	
Mage Armor (Greater).MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3								
Mage Armor (Mass).MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3						
Mage Hand (Greater).MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1							
Magic Fang (Superior).MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=4								
Magic Miasma.MOD	CLASSES:Sorcerer=9|Wizardry ~ Advanced=9		
Malevolent Miasma.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2		
Make Manifest.MOD	CLASSES:Canonry ~ Advanced=4|Sorcerer=6|Wizardry ~ Advanced=6		
Make Manifest (Mass).MOD	CLASSES:Canonry ~ Advanced=6|Sorcerer=8|Wizardry ~ Advanced=8								
Mantle of Chaos.MOD	CLASSES:Canonry ~ Advanced=3		
Mantle of Evil.MOD	CLASSES:Blackguard,Canonry ~ Advanced=3		
Mantle of Good.MOD	CLASSES:Canonry ~ Basic=1		
Mantle of the Icy Soul.MOD	CLASSES:Canonry ~ Advanced=6|Wicca ~ Advanced=5			
Mantle of Law.MOD	CLASSES:Canonry ~ Advanced,Canonry ~ Basic=3		
Manyjaws.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3	
Mark of the Hunter.MOD	CLASSES:Wicca ~ Basic=3			
Mark of the Outcast.MOD	CLASSES:Blackguard=1|Canonry ~ Advanced,Wicca ~ Advanced=2			
Marked Object.MOD	CLASSES:Assassin,Sorcerer=2|Wizardry ~ Advanced=2|Wicca ~ Basic=1		
Master Air.MOD	CLASSES:Wicca ~ Advanced=2	
Master Earth.MOD	CLASSES:Wicca ~ Advanced=7		
Master's Touch.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=1|Wizardry ~ Advanced=1		
Maw of Chaos.MOD	CLASSES:Sorcerer=9|Wizardry ~ Advanced=9		
Mechanus Mind.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2		
Memory Rot.MOD	CLASSES:Wicca ~ Advanced=5	
Mesmerizing Glare.MOD	CLASSES:Wizardry ~ Basic=2|Sorcerer=3|Wizardry ~ Advanced=3		
Metal Melt.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4	
Miasma.MOD	CLASSES:Wicca ~ Advanced=6	
Miasma of Entropy.MOD	CLASSES:Wicca ~ Advanced=4|Sorcerer=5|Wizardry ~ Advanced=5		
Mind Poison.MOD	CLASSES:Sorcerer=3|Wizardry ~ Advanced=3	
Mindless Rage.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=2|Wizardry ~ Advanced=2		
Minor Disguise.MOD	CLASSES:Wizardry ~ Basic=0		
Miser's Envy.MOD	CLASSES:Wizardry ~ Basic=2|Sorcerer=3|Wizardry ~ Advanced=3		
Moment of Clarity.MOD	CLASSES:Canonry ~ Basic=1		
Moon Bolt.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced=4	
Moon Lust.MOD	CLASSES:Canonry ~ Advanced=1	
Moonbow.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5	
Mountain Stance.MOD	CLASSES:Wicca ~ Advanced,Sorcerer=2|Wizardry ~ Advanced=2		
Murderous Mist.MOD	CLASSES:Wicca ~ Advanced=4		
														
### N & O Block:														
Nature's Avatar.MOD	CLASSES:Wicca ~ Advanced=9		
Nature's Balance.MOD	CLASSES:Wicca ~ Advanced=3		
Nature's Favor.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=2		
Nature's Rampart.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=3		
Naturewatch.MOD	CLASSES:Wicca ~ Advanced=0|Wicca ~ Basic=1	
Nauseating Breath.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=3|Wizardry ~ Advanced=3		
Negative Energy Aura.MOD	CLASSES:Canonry ~ Advanced=4			
Nerveskitter.MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1		
Net of Shadows.MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1		
Nightmare Lullaby.MOD	CLASSES:Wizardry ~ Basic=2		
Night's Caress.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5		
Nightshield.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=1|Wizardry ~ Advanced=1	
Nightstalker's Transformation.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5				
Nimbus of Light.MOD	CLASSES:Canonry ~ Advanced=1		
Nixie's Grace.MOD	CLASSES:Wizardry ~ Basic=6		
Obedient Avalanche.MOD	CLASSES:Sorcerer=9|Wizardry ~ Advanced=9			
Omen of Peril.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced,Wicca ~ Basic=1		
One With the Land.MOD	CLASSES:Wicca ~ Advanced,Wicca ~ Basic=2		
One Mind.MOD	CLASSES:Canonry ~ Basic=2	
One Mind (Greater).MOD	CLASSES:Canonry ~ Basic=3							
One Mind (Lesser).MOD	CLASSES:Canonry ~ Basic=1						
Ooze Puppet.MOD	CLASSES:Sorcerer=6|Wizardry ~ Advanced=6	
Opalescent Glare.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=6|Wizardry ~ Advanced=6		
Orb of Acid.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4	
Orb of Acid (Lesser).MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1								
Orb of Cold.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4	
Orb of Cold (Lesser).MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1								
Orb of Electricity.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4			
Orb of Electricity (Lesser).MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1										
Orb of Fire.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4	
Orb of Fire (Lesser).MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1								
Orb of Force.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4		
Orb of Sound.MOD	CLASSES:Sorcerer=4|Wizardry ~ Advanced=4		
Orb of Sound (Lesser).MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1								
Owl's Insight.MOD	CLASSES:Wicca ~ Advanced=5		
														
### P Block														
Panacea.MOD	CLASSES:Canonry ~ Advanced=4|Wicca ~ Advanced=5	
Perinarch.MOD	CLASSES:Wicca ~ Advanced,Sorcerer=4|Wizardry ~ Advanced=4	
Perinarch (Planar).MOD	CLASSES:Wicca ~ Advanced,Sorcerer=9|Wizardry ~ Advanced=9					DOMAINS:Limbo=9		
Persistent Blade.MOD	CLASSES:Sorcerer=1|Wizardry ~ Advanced=1		
Phantasmal Assailants.MOD	CLASSES:Sorcerer=2|Wizardry ~ Advanced=2			
Phantasmal Decoy.MOD	CLASSES:Wicca ~ Basic=3		
Phantasmal Disorientation.MOD	CLASSES:Wicca ~ Advanced=6				
Phantasmal Thief.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5		
Phantom Bear.MOD	CLASSES:Wicca ~ Advanced=9		
Phantom Foe.MOD	CLASSES:Assassin,Sorcerer=2|Wizardry ~ Advanced=2	
Phantom Stag.MOD	CLASSES:Wicca ~ Advanced=5		
Phantom Threat.MOD	CLASSES:Wizardry ~ Basic=1		
Phantom Wolf.MOD	CLASSES:Wicca ~ Advanced=8		
Plague of Undead.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=9|Wizardry ~ Advanced=9		
Planar Bubble.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=7|Wizardry ~ Advanced=7		
Planar Exchange.MOD	CLASSES:Canonry ~ Advanced=6		
Planar Exchange (Greater).MOD	CLASSES:Canonry ~ Advanced=8									
Planar Exchange (Lesser).MOD	CLASSES:Canonry ~ Advanced=4									
Planar Tolerance.MOD	CLASSES:Canonry ~ Advanced,Wicca ~ Advanced,Wicca ~ Basic=4|Sorcerer=5|Wizardry ~ Advanced=5		
Plane Shift (Greater).MOD	CLASSES:Canonry ~ Advanced,Sorcerer=8|Wizardry ~ Advanced=8								
Plant Body.MOD	CLASSES:Wicca ~ Advanced=5	
Poison Thorns.MOD	CLASSES:Wicca ~ Advanced=5		
Poison Vines.MOD	CLASSES:Wicca ~ Advanced=4		
Portal Alarm.MOD	CLASSES:Wizardry ~ Basic,Sorcerer=2|Wizardry ~ Advanced=2		
Portal Alarm (Improved).MOD	CLASSES:Wizardry ~ Basic,Sorcerer=4|Wizardry ~ Advanced=4								
Portal Beacon.MOD	CLASSES:Canonry ~ Advanced,Sorcerer=1|Wizardry ~ Advanced=1		
Positive Energy Aura.MOD	CLASSES:Canonry ~ Advanced=4			
Primal Form.MOD	CLASSES:Wicca ~ Advanced,Sorcerer=3|Wizardry ~ Advanced=3	
Prismatic Eye.MOD	CLASSES:Sorcerer=7|Wizardry ~ Advanced=7		
Prismatic Ray.MOD	CLASSES:Sorcerer=5|Wizardry ~ Advanced=5		
Probe Thoughts.MOD	CLASSES:Wizardry ~ Advanced,Sorcerer=6		
Programmed Amnesia.MOD	CLASSES:Sorcerer=9|Wizardry ~ Advanced=9			
Protection from Negative Energy.MOD	CLASSES:Canonry ~ Advanced=2					
